host_species,host_phylum,host_class,host_order,host_family,host_in_gonzalos_list,diseases,has_pilot_disease,pilot_diseases,has_pilot_include_disease,pilot_include_diseases,Not_specified,PCR_Sequencing,Isolation_Observation,Antibodies,Any_PCR_Or_Observation
Peromyscus californicus,Chordata,Mammalia,Rodentia,Cricetidae,TRUE,Hantavirus pulmonary syndrome; Hemorrhagic fever with renal syndrome (Hantaan virus); Sin Nombre hantavirus infection,TRUE,Hantavirus pulmonary syndrome; Hemorrhagic fever with renal syndrome (Hantaan virus),TRUE,Hantavirus pulmonary syndrome; Hemorrhagic fever with renal syndrome (Hantaan virus),0,2,0,3,2
Peromyscus difficilis,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,Hemorrhagic fever with renal syndrome (Hantaan virus),TRUE,Hemorrhagic fever with renal syndrome (Hantaan virus),TRUE,Hemorrhagic fever with renal syndrome (Hantaan virus),0,0,0,1,0
Peromyscus eremicus,Chordata,Mammalia,Rodentia,Cricetidae,TRUE,Hantavirus pulmonary syndrome; Hepatitis E; Sin Nombre hantavirus infection,TRUE,Hantavirus pulmonary syndrome; Hepatitis E,TRUE,Hantavirus pulmonary syndrome; Hepatitis E,0,2,0,3,2
Peromyscus gossypinus,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,Eastern equine encephalitis; Everglades virus disease; Saint Louis encephalitis; Venezuelan equine encephalitis,TRUE,Venezuelan equine encephalitis,FALSE,,0,0,1,3,1
Peromyscus leucopus,Chordata,Mammalia,Rodentia,Cricetidae,TRUE,Bayou hantavirus infection; Brazilian spotted fever; Eastern equine encephalitis; Hantavirus pulmonary syndrome; Hepatitis E; Powassan virus disease; Saint Louis encephalitis; Sin Nombre hantavirus infection; West Nile fever,TRUE,Hantavirus pulmonary syndrome; Hepatitis E; West Nile fever,TRUE,Hantavirus pulmonary syndrome; Hepatitis E; West Nile fever,2,4,4,8,8
Peromyscus maniculatus,Chordata,Mammalia,Rodentia,Cricetidae,TRUE,Colorado tick fever; Hantavirus pulmonary syndrome; Hemorrhagic fever with renal syndrome (Hantaan virus); Hepatitis E; Plague; Powassan virus disease; Prospect Hill hantavirus infection; Q fever; Saint Louis encephalitis; Severe Acute Respiratory Syndrome (SARS); COVID-19; Sin Nombre hantavirus infection; Tularemia; Venezuelan equine encephalitis; Western equine encephalitis,TRUE,Hantavirus pulmonary syndrome; Hemorrhagic fever with renal syndrome (Hantaan virus); Hepatitis E; Plague; Severe Acute Respiratory Syndrome (SARS); COVID-19; Venezuelan equine encephalitis,TRUE,Hantavirus pulmonary syndrome; Hemorrhagic fever with renal syndrome (Hantaan virus); Hepatitis E; Plague,0,5,7,7,12
Peromyscus pectoralis,Chordata,Mammalia,Rodentia,Cricetidae,TRUE,Hantavirus pulmonary syndrome; Sin Nombre hantavirus infection,TRUE,Hantavirus pulmonary syndrome,TRUE,Hantavirus pulmonary syndrome,0,2,0,0,2
Peromyscus sonoriensis,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,Hantavirus pulmonary syndrome; Sin Nombre hantavirus infection,TRUE,Hantavirus pulmonary syndrome,TRUE,Hantavirus pulmonary syndrome,0,2,0,0,2
Peromyscus truei,Chordata,Mammalia,Rodentia,Cricetidae,TRUE,Colorado tick fever; Hantavirus pulmonary syndrome; Powassan virus disease; Prospect Hill hantavirus infection; Sin Nombre hantavirus infection,TRUE,Hantavirus pulmonary syndrome,TRUE,Hantavirus pulmonary syndrome,0,2,0,5,2
Peropteryx macrotis,Chordata,Mammalia,Chiroptera,Emballonuridae,TRUE,Chikungunya fever,TRUE,Chikungunya fever,TRUE,Chikungunya fever,0,1,0,0,1
Petaurus breviceps,Chordata,Mammalia,Diprotodontia,Petauridae,FALSE,Ross River virus disease,FALSE,,FALSE,,0,0,0,1,0
Phacochoerus aethiopicus,Chordata,Mammalia,Artiodactyla,Suidae,FALSE,Anthrax; Crimean-Congo hemorrhagic fever; Rift Valley fever,TRUE,Crimean-Congo hemorrhagic fever; Rift Valley fever,TRUE,Crimean-Congo hemorrhagic fever; Rift Valley fever,1,0,0,2,0
Phalacrocorax capensis,Chordata,Aves,Suliformes,Phalacrocoracidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Phalacrocorax carbo,Chordata,Aves,Suliformes,Phalacrocoracidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Murray Valley encephalitis; West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,6,3,1,9
Phalacrocorax sulcirostris,Chordata,Aves,Suliformes,Phalacrocoracidae,FALSE,Murray Valley encephalitis,FALSE,,FALSE,,0,0,0,1,0
Phalaropus lobatus,Chordata,Aves,Charadriiformes,Scolopacidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Phascolarctos cinereus,Chordata,Mammalia,Diprotodontia,Phascolarctidae,FALSE,Melioidosis; Ross River virus disease,FALSE,,FALSE,,0,0,1,1,1
Phasianus colchicus,Chordata,Aves,Galliformes,Phasianidae,TRUE,Eastern equine encephalitis; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Q fever; Tularemia; West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,3,3,1,6
Phelsuma madagascariensis,Chordata,Reptilia,Squamata,Gekkonidae,TRUE,Non-typhoidal salmonellosis,TRUE,Non-typhoidal salmonellosis,FALSE,,0,0,1,0,1
Pheucticus melanocephalus,Chordata,Aves,Passeriformes,Cardinalidae,TRUE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,1,0,0,1
Philander frenatus,Chordata,Mammalia,Didelphimorphia,Didelphidae,TRUE,Chagas disease,FALSE,,FALSE,,0,1,0,0,1
Philander opossum,Chordata,Mammalia,Didelphimorphia,Didelphidae,TRUE,Chagas disease; Dengue; Mayaro virus disease; Venezuelan equine encephalitis,TRUE,Dengue; Venezuelan equine encephalitis,TRUE,Dengue,0,2,0,2,2
Philantomba maxwellii,Chordata,Mammalia,Artiodactyla,Bovidae,FALSE,Bluetongue,FALSE,,FALSE,,0,0,0,1,0
Philantomba monticola,Chordata,Mammalia,Artiodactyla,Bovidae,TRUE,Bluetongue; O'nyong-nyong fever; Rabies; Rift Valley fever,TRUE,Rift Valley fever,TRUE,Rift Valley fever,0,2,0,2,2
Philetor brachypterus,Chordata,Mammalia,Chiroptera,Vespertilionidae,FALSE,Australian bat lyssavirus infection,FALSE,,FALSE,,0,0,0,1,0
Philydor erythrocercum,Chordata,Aves,Passeriformes,Furnariidae,FALSE,Saint Louis encephalitis,FALSE,,FALSE,,0,1,1,0,2
Phoca groenlandica,Chordata,Mammalia,Carnivora,Phocidae,FALSE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,0,0,2,0
Phoca vitulina,Chordata,Mammalia,Carnivora,Phocidae,TRUE,Eastern equine encephalitis; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Japanese encephalitis; Klebsiella infection (pneumonia sepsis); Q fever; West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,8,4,4,12
Phocarctos hookeri,Chordata,Mammalia,Carnivora,Otariidae,TRUE,Klebsiella infection (pneumonia sepsis),FALSE,,FALSE,,0,0,1,0,1
Phocoena phocoena,Chordata,Mammalia,Artiodactyla,Phocoenidae,FALSE,Non-typhoidal salmonellosis; Q fever,TRUE,Non-typhoidal salmonellosis,FALSE,,0,2,0,0,2
Phocoena spinipinnis,Chordata,Mammalia,Artiodactyla,Phocoenidae,FALSE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Phocoenoides dalli,Chordata,Mammalia,Artiodactyla,Phocoenidae,FALSE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,0,0,2,0
Phoenicoparrus andinus,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,TRUE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,1,0,0,1
Phoenicopterus chilensis,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,3,0,0,3
Phoenicopterus roseus,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,3,0,0,3
Phoenicopterus ruber,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Q fever; West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,6,1,0,7
Phoenicurus phoenicurus,Chordata,Aves,Passeriformes,Muscicapidae,TRUE,Tick-borne encephalitis,TRUE,Tick-borne encephalitis,TRUE,Tick-borne encephalitis,0,2,0,0,2
Phylloscopus collybita,Chordata,Aves,Passeriformes,Phylloscopidae,TRUE,Tick-borne encephalitis; West Nile fever,TRUE,Tick-borne encephalitis; West Nile fever,TRUE,Tick-borne encephalitis; West Nile fever,0,3,0,0,3
Phylloscopus proregulus,Chordata,Aves,Passeriformes,Phylloscopidae,TRUE,Tick-borne encephalitis,TRUE,Tick-borne encephalitis,TRUE,Tick-borne encephalitis,0,2,0,0,2
Phylloscopus trochilus,Chordata,Aves,Passeriformes,Phylloscopidae,TRUE,Tick-borne encephalitis,TRUE,Tick-borne encephalitis,TRUE,Tick-borne encephalitis,0,1,0,0,1
Phyllostomus discolor,Chordata,Mammalia,Chiroptera,Phyllostomidae,TRUE,Chagas disease; Dengue; Venezuelan equine encephalitis,TRUE,Dengue; Venezuelan equine encephalitis,TRUE,Dengue,0,2,0,1,2
Phyllostomus hastatus,Chordata,Mammalia,Chiroptera,Phyllostomidae,FALSE,Chagas disease; Dengue; Eastern equine encephalitis; Rabies; Rocio virus encephalitis; Saint Louis encephalitis; Yellow fever,TRUE,Dengue; Yellow fever,TRUE,Dengue; Yellow fever,0,1,1,6,2
Physignathus cocincinus,Chordata,Reptilia,Squamata,Agamidae,TRUE,Non-typhoidal salmonellosis,TRUE,Non-typhoidal salmonellosis,FALSE,,0,0,1,0,1
Pica hudsonia,Chordata,Aves,Passeriformes,Corvidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,3,0,0,3
Pica nuttalli,Chordata,Aves,Passeriformes,Corvidae,FALSE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,1,0,0,1
Pica pica,Chordata,Aves,Passeriformes,Corvidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Tick-borne encephalitis; Tularemia; West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Tick-borne encephalitis; West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Tick-borne encephalitis; West Nile fever,0,8,1,1,9
Piliocolobus badius,Chordata,Mammalia,Primates,Cercopithecidae,FALSE,Mpox (Monkeypox); Yellow fever,TRUE,Mpox (Monkeypox); Yellow fever,TRUE,Yellow fever,2,0,0,2,0
Pinicola enucleator,Chordata,Aves,Passeriformes,Fringillidae,TRUE,Tick-borne encephalitis,TRUE,Tick-borne encephalitis,TRUE,Tick-borne encephalitis,0,1,0,0,1
Pionus menstruus,Chordata,Aves,Psittaciformes,Psittacidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,0,0,4
Pipilo erythrophthalmus,Chordata,Aves,Passeriformes,Passerellidae,FALSE,Eastern equine encephalitis; Q fever,FALSE,,FALSE,,0,0,0,2,0
Pipistrellus abramus,Chordata,Mammalia,Chiroptera,Vespertilionidae,TRUE,Japanese encephalitis,FALSE,,FALSE,,0,0,0,1,0
Pipistrellus ceylonicus,Chordata,Mammalia,Chiroptera,Vespertilionidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,0,0,2,0
Pipistrellus hesperidus,Chordata,Mammalia,Chiroptera,Vespertilionidae,TRUE,Middle East Respiratory Syndrome (MERS); West Nile fever,TRUE,Middle East Respiratory Syndrome (MERS); West Nile fever,TRUE,West Nile fever,0,2,0,1,2
Pipistrellus kuhlii,Chordata,Mammalia,Chiroptera,Vespertilionidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Middle East Respiratory Syndrome (MERS),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Middle East Respiratory Syndrome (MERS),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,6,0,0,6
Pipistrellus nathusii,Chordata,Mammalia,Chiroptera,Vespertilionidae,TRUE,Middle East Respiratory Syndrome (MERS),TRUE,Middle East Respiratory Syndrome (MERS),FALSE,,0,2,0,0,2
Pipistrellus pipistrellus,Chordata,Mammalia,Chiroptera,Vespertilionidae,TRUE,Bokeloh bat lyssavirus infection,FALSE,,FALSE,,0,1,0,0,1
Piranga ludoviciana,Chordata,Aves,Passeriformes,Cardinalidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,0,0,4
Pithecia irrorata,Chordata,Mammalia,Primates,Pitheciidae,FALSE,Chagas disease,FALSE,,FALSE,,1,0,0,0,0
Pithecia pithecia,Chordata,Mammalia,Primates,Pitheciidae,FALSE,Mayaro virus disease; Yellow fever,TRUE,Yellow fever,TRUE,Yellow fever,0,0,0,2,0
Pituophis catenifer,Chordata,Lepidosauria,Squamata,Colubridae,FALSE,Tularemia,FALSE,,FALSE,,0,0,0,1,0
Platyrrhinus helleri,Chordata,Mammalia,Chiroptera,Phyllostomidae,FALSE,Eastern equine encephalitis; Rocio virus encephalitis; Yellow fever,TRUE,Yellow fever,TRUE,Yellow fever,0,0,0,3,0
Platyrrhinus lineatus,Chordata,Mammalia,Chiroptera,Phyllostomidae,FALSE,Rabies,FALSE,,FALSE,,0,0,1,0,1
Plecotus auritus,Chordata,Mammalia,Chiroptera,Vespertilionidae,TRUE,Japanese encephalitis; Rabies,FALSE,,FALSE,,0,1,1,1,2
Plectropterus gambensis,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Plecturocebus brunneus,Chordata,Mammalia,Primates,Pitheciidae,TRUE,Chagas disease,FALSE,,FALSE,,1,0,0,0,0
Plegadis chihi,Chordata,Aves,Pelecaniformes,Threskiornithidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Plegadis falcinellus,Chordata,Aves,Pelecaniformes,Threskiornithidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Plestiodon latiscutatus,Chordata,Lepidosauria,Squamata,Scincidae,FALSE,Japanese encephalitis,FALSE,,FALSE,,0,0,0,1,0
Ploceus cucullatus,Chordata,Aves,Passeriformes,Ploceidae,FALSE,Western equine encephalitis,FALSE,,FALSE,,0,0,0,1,0
Pluvialis apricaria,Chordata,Aves,Charadriiformes,Charadriidae,TRUE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,1,0,0,1
Pluvialis dominica,Chordata,Aves,Charadriiformes,Charadriidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Pluvialis fulva,Chordata,Aves,Charadriiformes,Charadriidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,0,0,4
Pluvialis squatarola,Chordata,Aves,Charadriiformes,Charadriidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Podargus strigoides,Chordata,Aves,Caprimulgiformes,Podargidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Ross River virus disease,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,1,2
Podiceps auritus,Chordata,Aves,Podicipediformes,Podicipedidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Podiceps cristatus,Chordata,Aves,Podicipediformes,Podicipedidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,5,0,0,5
Podiceps grisegena,Chordata,Aves,Podicipediformes,Podicipedidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Podiceps major,Chordata,Aves,Podicipediformes,Podicipedidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Podiceps nigricollis,Chordata,Aves,Podicipediformes,Podicipedidae,TRUE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,0,1,0,1
Poecile atricapillus,Chordata,Aves,Passeriformes,Paridae,TRUE,Eastern equine encephalitis; West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,2,2,0,4
Poecile carolinensis,Chordata,Aves,Passeriformes,Paridae,TRUE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,1,1,0,2
Poecile montanus,Chordata,Aves,Passeriformes,Paridae,TRUE,Tick-borne encephalitis,TRUE,Tick-borne encephalitis,TRUE,Tick-borne encephalitis,0,2,0,0,2
Poephila personata,Chordata,Aves,Passeriformes,Estrildidae,FALSE,Ross River virus disease,FALSE,,FALSE,,0,2,1,0,3
Pogona vitticeps,Chordata,Reptilia,Squamata,Agamidae,TRUE,Non-typhoidal salmonellosis,TRUE,Non-typhoidal salmonellosis,FALSE,,0,0,1,0,1
Polysticta stelleri,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Pongo pygmaeus,Chordata,Mammalia,Primates,Hominidae,TRUE,Dengue; Ebola virus disease; Japanese encephalitis; Marburg virus disease; Zika virus disease,TRUE,Dengue; Ebola virus disease; Marburg virus disease; Zika virus disease,TRUE,Dengue; Ebola virus disease; Marburg virus disease; Zika virus disease,0,0,0,5,0
Potamochoerus porcus,Chordata,Mammalia,Artiodactyla,Suidae,FALSE,Anthrax,FALSE,,FALSE,,1,0,0,0,0
Potorous tridactylus,Chordata,Mammalia,Diprotodontia,Potoroidae,FALSE,Ross River virus disease,FALSE,,FALSE,,0,0,0,1,0
Potos flavus,Chordata,Mammalia,Carnivora,Procyonidae,FALSE,Mayaro virus disease; Rabies; Yellow fever,TRUE,Yellow fever,TRUE,Yellow fever,0,1,1,2,2
Praomys daltoni,Chordata,Mammalia,Rodentia,Muridae,FALSE,Lassa fever,TRUE,Lassa fever,TRUE,Lassa fever,0,0,0,1,0
Praomys jacksoni,Chordata,Mammalia,Rodentia,Muridae,FALSE,Mpox (Monkeypox),TRUE,Mpox (Monkeypox),FALSE,,0,1,0,0,1
Praomys rostratus,Chordata,Mammalia,Rodentia,Muridae,FALSE,Lassa fever,TRUE,Lassa fever,TRUE,Lassa fever,0,0,0,1,0
Presbytis melalophos,Chordata,Mammalia,Primates,Cercopithecidae,FALSE,Melioidosis; Zoonotic malaria,FALSE,,FALSE,,1,0,1,0,1
Prionailurus bengalensis,Chordata,Mammalia,Carnivora,Felidae,TRUE,Severe Acute Respiratory Syndrome (SARS); COVID-19; Severe fever with thrombocytopenia syndrome (SFTS),TRUE,Severe Acute Respiratory Syndrome (SARS); COVID-19; Severe fever with thrombocytopenia syndrome (SFTS),FALSE,,0,4,0,0,4
Prionailurus iriomotensis,Chordata,Mammalia,Carnivora,Felidae,FALSE,Anthrax,FALSE,,FALSE,,1,0,0,0,0
Procellaria aequinoctialis,Chordata,Aves,Procellariiformes,Procellariidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Procyon cancrivorus,Chordata,Mammalia,Carnivora,Procyonidae,FALSE,Rabies,FALSE,,FALSE,,1,1,1,0,2
Procyon lotor,Chordata,Mammalia,Carnivora,Procyonidae,TRUE,Anthrax; Babesiosis due to Babesia microti; Baylisascariasis; Borna disease (encephalitis); Brazilian spotted fever; Chagas disease; Everglades virus disease; Human monocytic ehrlichiosis; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Japanese encephalitis; Non-typhoidal salmonellosis; Plague; Q fever; Rabies; Saint Louis encephalitis; Severe Acute Respiratory Syndrome (SARS); COVID-19; Severe fever with thrombocytopenia syndrome (SFTS); Tularemia; Venezuelan equine encephalitis; West Nile fever; Western equine encephalitis,TRUE,Borna disease (encephalitis); Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Non-typhoidal salmonellosis; Plague; Severe Acute Respiratory Syndrome (SARS); COVID-19; Severe fever with thrombocytopenia syndrome (SFTS); Venezuelan equine encephalitis; West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Plague; West Nile fever,4,14,6,14,20
Proechimys cuvieri,Chordata,Mammalia,Rodentia,Echimyidae,TRUE,Dengue,TRUE,Dengue,TRUE,Dengue,0,2,0,0,2
Proechimys guairae,Chordata,Mammalia,Rodentia,Echimyidae,FALSE,Venezuelan equine encephalitis,TRUE,Venezuelan equine encephalitis,FALSE,,0,0,0,1,0
Proechimys guyannensis,Chordata,Mammalia,Rodentia,Echimyidae,TRUE,Dengue; Venezuelan equine encephalitis,TRUE,Dengue; Venezuelan equine encephalitis,TRUE,Dengue,0,1,1,0,2
Proechimys longicaudatus,Chordata,Mammalia,Rodentia,Echimyidae,FALSE,Chagas disease,FALSE,,FALSE,,0,1,0,0,1
Proechimys semispinosus,Chordata,Mammalia,Rodentia,Echimyidae,TRUE,Saint Louis encephalitis; Venezuelan equine encephalitis,TRUE,Venezuelan equine encephalitis,FALSE,,0,0,1,2,1
Profelis aurata,Chordata,Mammalia,Carnivora,Felidae,FALSE,Anthrax,FALSE,,FALSE,,1,0,0,0,0
Propithecus coquereli,Chordata,Mammalia,Primates,Indriidae,FALSE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,0,0,1,0
Propithecus verreauxi,Chordata,Mammalia,Primates,Indriidae,FALSE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,0,0,1,0
Proteles cristata,Chordata,Mammalia,Carnivora,Hyaenidae,FALSE,Rabies,FALSE,,FALSE,,0,1,1,0,2
Prunella modularis,Chordata,Aves,Passeriformes,Prunellidae,TRUE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,1,0,0,1
Psarocolius wagleri,Chordata,Aves,Passeriformes,Icteridae,FALSE,Rocio virus encephalitis,FALSE,,FALSE,,0,0,0,1,0
Pseudechis porphyriacus,Chordata,Reptilia,Squamata,Elapidae,TRUE,Non-typhoidal salmonellosis,TRUE,Non-typhoidal salmonellosis,FALSE,,0,0,1,0,1
Pseudocheirus peregrinus,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,FALSE,Ross River virus disease,FALSE,,FALSE,,0,0,0,1,0
Pseudois nayaur,Chordata,Mammalia,Artiodactyla,Bovidae,TRUE,Plague,TRUE,Plague,TRUE,Plague,0,0,1,0,1
Pseudomys novaehollandiae,Chordata,Mammalia,Rodentia,Muridae,FALSE,Ross River virus disease,FALSE,,FALSE,,0,0,0,1,0
Pseudonaja textilis,Chordata,Reptilia,Squamata,Elapidae,TRUE,Non-typhoidal salmonellosis,TRUE,Non-typhoidal salmonellosis,FALSE,,0,0,1,0,1
Pseudorca crassidens,Chordata,Mammalia,Artiodactyla,Delphinidae,FALSE,Melioidosis,FALSE,,FALSE,,0,0,1,0,1
Psilopogon zeylanicus,Chordata,Aves,Piciformes,Megalaimidae,FALSE,Alkhumra hemorrhagic fever; Kyasanur Forest disease,FALSE,,FALSE,,0,0,0,2,0
