host_species,host_phylum,host_class,host_order,host_family,host_in_gonzalos_list,diseases,has_pilot_disease,pilot_diseases,has_pilot_include_disease,pilot_include_diseases,Not_specified,PCR_Sequencing,Isolation_Observation,Antibodies,Any_PCR_Or_Observation
Crocuta crocuta,Chordata,Mammalia,Carnivora,Hyaenidae,TRUE,African horse sickness; Anthrax; Bluetongue; Rabies; Severe Acute Respiratory Syndrome (SARS); COVID-19,TRUE,Severe Acute Respiratory Syndrome (SARS); COVID-19,FALSE,,1,4,1,2,5
Crotalus horridus,Chordata,Lepidosauria,Squamata,Viperidae,FALSE,Eastern equine encephalitis,FALSE,,FALSE,,0,0,0,1,0
Crotalus willardi,Chordata,Reptilia,Squamata,Viperidae,TRUE,Non-typhoidal salmonellosis,TRUE,Non-typhoidal salmonellosis,FALSE,,0,0,1,0,1
Crotophaga sulcirostris,Chordata,Aves,Cuculiformes,Cuculidae,TRUE,Venezuelan equine encephalitis,TRUE,Venezuelan equine encephalitis,FALSE,,0,0,1,0,1
Cryptoprocta ferox,Chordata,Mammalia,Carnivora,Eupleridae,FALSE,Anthrax,FALSE,,FALSE,,1,0,0,0,0
Ctenodactylus gundi,Chordata,Mammalia,Rodentia,Ctenodactylidae,FALSE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,0,0,1,0
Cuculus canorus,Chordata,Aves,Cuculiformes,Cuculidae,TRUE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,1,0,0,1
Cuniculus paca,Chordata,Mammalia,Rodentia,Cuniculidae,FALSE,Rabies; Venezuelan equine encephalitis,TRUE,Venezuelan equine encephalitis,FALSE,,0,1,0,1,1
Curruca conspicillata,Chordata,Aves,Passeriformes,Sylviidae,TRUE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,1,0,0,1
Curruca curruca,Chordata,Aves,Passeriformes,Sylviidae,TRUE,Tick-borne encephalitis,TRUE,Tick-borne encephalitis,TRUE,Tick-borne encephalitis,0,1,0,0,1
Curruca nisoria,Chordata,Aves,Passeriformes,Sylviidae,TRUE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,0,1,0,1
Cyanistes caeruleus,Chordata,Aves,Passeriformes,Paridae,TRUE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,1,0,0,1
