species_key,species,model_file_count,model_paths,source_labels,has_top_level_model,has_nested_model,nested_contexts,has_ensemble_mean,has_tss_clipped,prediction_statuses
cercopithecus diana,Cercopithecus diana,1,hosts/Cercopithecus_diana/model.rds,host_vector_server_rerun,FALSE,TRUE,hosts/Cercopithecus_diana,TRUE,TRUE,completed
cercopithecus mitis,Cercopithecus mitis,1,hosts/Cercopithecus_mitis/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Cercopithecus_mitis,TRUE,TRUE,completed
cercopithecus mitis kandti,Cercopithecus mitis kandti,1,hosts/Cercopithecus_mitis_kandti/model.rds,host_vector_server_rerun,FALSE,TRUE,hosts/Cercopithecus_mitis_kandti,TRUE,TRUE,completed
cercopithecus mona,Cercopithecus mona,1,hosts/Cercopithecus_mona/model.rds,host_vector_server_rerun,FALSE,TRUE,hosts/Cercopithecus_mona,TRUE,TRUE,completed
cercopithecus nictitans,Cercopithecus nictitans,1,hosts/Cercopithecus_nictitans/model.rds,host_vector_server_rerun,FALSE,TRUE,hosts/Cercopithecus_nictitans,TRUE,TRUE,completed
cerdocyon thous,Cerdocyon thous,1,hosts/Cerdocyon_thous/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Cerdocyon_thous,TRUE,TRUE,completed
cervus elaphus,Cervus elaphus,1,hosts/Cervus_elaphus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Cervus_elaphus,TRUE,TRUE,completed
cervus nippon,Cervus nippon,1,hosts/Cervus_nippon/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Cervus_nippon,TRUE,TRUE,completed
chaetodipus hispidus,Chaetodipus hispidus,1,hosts/Chaetodipus_hispidus/model.rds,host_vector_server_rerun,FALSE,TRUE,hosts/Chaetodipus_hispidus,TRUE,TRUE,completed
chaetophractus vellerosus,Chaetophractus vellerosus,1,hosts/Chaetophractus_vellerosus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Chaetophractus_vellerosus,TRUE,TRUE,completed
chlamydosaurus kingii,Chlamydosaurus kingii,1,hosts/Chlamydosaurus_kingii/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Chlamydosaurus_kingii,TRUE,TRUE,completed
chlorocebus aethiops,Chlorocebus aethiops,1,hosts/Chlorocebus_aethiops/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Chlorocebus_aethiops,TRUE,TRUE,completed
chlorocebus pygerythrus,Chlorocebus pygerythrus,1,hosts/Chlorocebus_pygerythrus/model.rds,host_vector_server_rerun,FALSE,TRUE,hosts/Chlorocebus_pygerythrus,TRUE,TRUE,completed
chlorocebus sabaeus,Chlorocebus sabaeus,1,hosts/Chlorocebus_sabaeus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Chlorocebus_sabaeus,TRUE,TRUE,completed
chrysocyon brachyurus,Chrysocyon brachyurus,1,hosts/Chrysocyon_brachyurus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Chrysocyon_brachyurus,TRUE,TRUE,completed
civettictis civetta,Civettictis civetta,1,hosts/Civettictis_civetta/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Civettictis_civetta,TRUE,TRUE,completed
clethrionomys gapperi,Clethrionomys gapperi,1,hosts/Clethrionomys_gapperi/model.rds,host_vector_server_rerun,FALSE,TRUE,hosts/Clethrionomys_gapperi,TRUE,TRUE,completed
clethrionomys glareolus,Clethrionomys glareolus,1,hosts/Clethrionomys_glareolus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Clethrionomys_glareolus,TRUE,TRUE,completed
clethrionomys rutilus,Clethrionomys rutilus,1,hosts/Clethrionomys_rutilus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Clethrionomys_rutilus,TRUE,TRUE,completed
colobus guereza,Colobus guereza,1,hosts/Colobus_guereza/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Colobus_guereza,TRUE,TRUE,completed
