species_name,species_safe,cleaned_path,n_rows,flag_taxonomy_review,multi_high_taxonomy_levels,multi_any_taxonomy_levels,non_animalia,non_chordata,non_mammalia,species_value_mismatch,mismatched_species_values,manifest_taxonomy_mismatch_levels,n_unique_kingdom,n_unique_phylum,n_unique_class,n_unique_order,n_unique_family,n_unique_genus,n_unique_species,values_kingdom,values_phylum,values_class,values_order,values_family,values_genus,values_species
Dama dama,Dama_dama,sdms/runs/host_sdm_push/occurrences/Dama_dama/gbif-download/cleaned/Dama_dama_cleaned.csv,128453,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Dama,Dama dama
Damaliscus pygargus,Damaliscus_pygargus,sdms/runs/host_sdm_push/occurrences/Damaliscus_pygargus/gbif-download/cleaned/Damaliscus_pygargus_cleaned.csv,3938,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Damaliscus,Damaliscus pygargus
Dasymys incomtus,Dasymys_incomtus,sdms/runs/host_sdm_push/occurrences/Dasymys_incomtus/gbif-download/cleaned/Dasymys_incomtus_cleaned.csv,32,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,Dasymys,Dasymys incomtus
Dasyprocta leporina,Dasyprocta_leporina,sdms/runs/host_sdm_push/occurrences/Dasyprocta_leporina/gbif-download/cleaned/Dasyprocta_leporina_cleaned.csv,1475,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina
Diceros bicornis,Diceros_bicornis,sdms/runs/host_sdm_push/occurrences/Diceros_bicornis/gbif-download/cleaned/Diceros_bicornis_cleaned.csv,1808,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,Diceros bicornis
Dipodillus dasyurus,Dipodillus_dasyurus,sdms/runs/host_sdm_push/occurrences/Dipodillus_dasyurus/gbif-download/cleaned/Dipodillus_dasyurus_cleaned.csv,158,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,Dipodillus,Dipodillus dasyurus
Eidolon dupreanum,Eidolon_dupreanum,sdms/runs/host_sdm_push/occurrences/Eidolon_dupreanum/gbif-download/cleaned/Eidolon_dupreanum_cleaned.csv,83,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Eidolon,Eidolon dupreanum
Eira barbara,Eira_barbara,sdms/runs/host_sdm_push/occurrences/Eira_barbara/gbif-download/cleaned/Eira_barbara_cleaned.csv,3585,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Eira,Eira barbara
Elaphodus cephalophus,Elaphodus_cephalophus,sdms/runs/host_sdm_push/occurrences/Elaphodus_cephalophus/gbif-download/cleaned/Elaphodus_cephalophus_cleaned.csv,93,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Elaphodus,Elaphodus cephalophus
Elephas maximus,Elephas_maximus,sdms/runs/host_sdm_push/occurrences/Elephas_maximus/gbif-download/cleaned/Elephas_maximus_cleaned.csv,10142,FALSE,,,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,Elephas maximus
