species_name,species_safe,taxonomy_level,value,n_records
Cercopithecus mona,Cercopithecus_mona,phylum,Chordata,241
Cercopithecus mona,Cercopithecus_mona,species,Cercopithecus mona,241
Cercopithecus nictitans,Cercopithecus_nictitans,class,Mammalia,235
Cercopithecus nictitans,Cercopithecus_nictitans,family,Cercopithecidae,235
Cercopithecus nictitans,Cercopithecus_nictitans,genus,Cercopithecus,235
Cercopithecus nictitans,Cercopithecus_nictitans,kingdom,Animalia,235
Cercopithecus nictitans,Cercopithecus_nictitans,order,Primates,235
Cercopithecus nictitans,Cercopithecus_nictitans,phylum,Chordata,235
Cercopithecus nictitans,Cercopithecus_nictitans,species,Cercopithecus nictitans,235
Chaetodipus hispidus,Chaetodipus_hispidus,class,Mammalia,2641
Chaetodipus hispidus,Chaetodipus_hispidus,family,Heteromyidae,2641
Chaetodipus hispidus,Chaetodipus_hispidus,genus,Chaetodipus,2641
Chaetodipus hispidus,Chaetodipus_hispidus,kingdom,Animalia,2641
Chaetodipus hispidus,Chaetodipus_hispidus,order,Rodentia,2641
Chaetodipus hispidus,Chaetodipus_hispidus,phylum,Chordata,2641
Chaetodipus hispidus,Chaetodipus_hispidus,species,Chaetodipus hispidus,2641
Chlorocebus pygerythrus,Chlorocebus_pygerythrus,class,Mammalia,11078
Chlorocebus pygerythrus,Chlorocebus_pygerythrus,family,Cercopithecidae,11078
Chlorocebus pygerythrus,Chlorocebus_pygerythrus,genus,Chlorocebus,11078
Chlorocebus pygerythrus,Chlorocebus_pygerythrus,kingdom,Animalia,11078
Chlorocebus pygerythrus,Chlorocebus_pygerythrus,order,Primates,11078
Chlorocebus pygerythrus,Chlorocebus_pygerythrus,phylum,Chordata,11078
Chlorocebus pygerythrus,Chlorocebus_pygerythrus,species,Chlorocebus pygerythrus,11078
Clethrionomys gapperi,Clethrionomys_gapperi,class,Mammalia,4561
Clethrionomys gapperi,Clethrionomys_gapperi,family,Cricetidae,4561
Clethrionomys gapperi,Clethrionomys_gapperi,genus,Myodes,4561
Clethrionomys gapperi,Clethrionomys_gapperi,kingdom,Animalia,4561
Clethrionomys gapperi,Clethrionomys_gapperi,order,Rodentia,4561
Clethrionomys gapperi,Clethrionomys_gapperi,phylum,Chordata,4561
Clethrionomys gapperi,Clethrionomys_gapperi,species,Myodes gapperi,4561
Connochaetes taurinus,Connochaetes_taurinus,class,Mammalia,11998
Connochaetes taurinus,Connochaetes_taurinus,family,Bovidae,11998
Connochaetes taurinus,Connochaetes_taurinus,genus,Connochaetes,11998
Connochaetes taurinus,Connochaetes_taurinus,kingdom,Animalia,11998
Connochaetes taurinus,Connochaetes_taurinus,order,Artiodactyla,11998
Connochaetes taurinus,Connochaetes_taurinus,phylum,Chordata,11998
Connochaetes taurinus,Connochaetes_taurinus,species,Connochaetes taurinus,11998
Crocidura lasiura,Crocidura_lasiura,class,Mammalia,72
Crocidura lasiura,Crocidura_lasiura,family,Soricidae,72
Crocidura lasiura,Crocidura_lasiura,genus,Crocidura,72
Crocidura lasiura,Crocidura_lasiura,kingdom,Animalia,72
Crocidura lasiura,Crocidura_lasiura,order,Soricomorpha,72
Crocidura lasiura,Crocidura_lasiura,phylum,Chordata,72
Crocidura lasiura,Crocidura_lasiura,species,Crocidura lasiura,72
Crocidura olivieri,Crocidura_olivieri,class,Mammalia,1058
Crocidura olivieri,Crocidura_olivieri,family,Soricidae,1058
Crocidura olivieri,Crocidura_olivieri,genus,Crocidura,1058
Crocidura olivieri,Crocidura_olivieri,kingdom,Animalia,1058
Crocidura olivieri,Crocidura_olivieri,order,Soricomorpha,1058
Crocidura olivieri,Crocidura_olivieri,phylum,Chordata,1058
Crocidura olivieri,Crocidura_olivieri,species,Crocidura olivieri,1058
Crocidura shantungensis,Crocidura_shantungensis,class,Mammalia,74
Crocidura shantungensis,Crocidura_shantungensis,family,Soricidae,74
Crocidura shantungensis,Crocidura_shantungensis,genus,Crocidura,74
Crocidura shantungensis,Crocidura_shantungensis,kingdom,Animalia,74
