"species_name","species_name_canonical","species_role","sdm_needed_for_disease","run_priority","occurrence_method","start_year","end_year","taxon_key","gbif_matched_name","gbif_download_key","request_status","gbif_status","gbif_doi","gbif_download_link","gbif_total_records","gbif_size","gbif_created","gbif_modified","submitted_at","status_checked_at","import_status","cleaned_path","occurrence_summary_path","notes"
"Verrallina funerea","Verrallina funerea","vector","yes",1,"gbif-download",1970,2026,,"","","failed","","","",,,"","","","","","","","A download limitation is exceeded:
User atrebski24 has too many simultaneous downloads; the limit is 3.
Please wait for some to complete, or cancel any unwanted downloads.  See your user page.
"
"Aedes fulgens","Aedes fulgens","vector","yes",1,"gbif-download",1970,2026,1650937,"Aedes fulgens","0032896-260519110011954","submitted","SUCCEEDED","10.15468/dl.2zym3j","https://api.gbif.org/v1/occurrence/download/request/0032896-260519110011954.zip",6,994,"2026-06-02T23:35:24.031+00:00","2026-06-02T23:37:01.055+00:00","2026-06-02T23:35:24Z","2026-06-03T00:31:27Z","cleaned","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_fulgens/gbif-download/cleaned/Aedes_fulgens_cleaned.csv","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_fulgens/gbif-download/occurrence_preparation_summary.csv",""
"Aedes furcifer","Aedes furcifer","vector","yes",1,"gbif-download",1970,2026,1650917,"Aedes furcifer","0032897-260519110011954","submitted","SUCCEEDED","10.15468/dl.c4yzsd","https://api.gbif.org/v1/occurrence/download/request/0032897-260519110011954.zip",5,1196,"2026-06-02T23:35:25.903+00:00","2026-06-02T23:37:03.459+00:00","2026-06-02T23:35:26Z","2026-06-03T00:31:34Z","cleaned","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_furcifer/gbif-download/cleaned/Aedes_furcifer_cleaned.csv","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_furcifer/gbif-download/occurrence_preparation_summary.csv",""
"Aedes furcifer taylori","Aedes furcifer taylori","vector","yes",1,"gbif-download",1970,2026,1650917,"Aedes furcifer","0032897-260519110011954","submitted","SUCCEEDED","10.15468/dl.c4yzsd","https://api.gbif.org/v1/occurrence/download/request/0032897-260519110011954.zip",5,1196,"2026-06-02T23:35:25.903+00:00","2026-06-02T23:37:03.459+00:00","2026-06-02T23:35:27Z","2026-06-03T00:31:46Z","cleaned","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_furcifer_taylori/gbif-download/cleaned/Aedes_furcifer_taylori_cleaned.csv","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_furcifer_taylori/gbif-download/occurrence_preparation_summary.csv",""
"Aedes hensilli","Aedes hensilli","vector","yes",1,"gbif-download",1970,2026,1651765,"Aedes hensilli","0033008-260519110011954","submitted","SUCCEEDED","10.15468/dl.s8fr54","https://api.gbif.org/v1/occurrence/download/request/0033008-260519110011954.zip",37,3567,"2026-06-03T00:30:15.061+00:00","2026-06-03T00:31:52.544+00:00","2026-06-03T00:30:15Z","2026-06-03T10:51:23Z","cleaning_failed_no_usable_records",,,""
"Aedes luteocephalus","Aedes luteocephalus","vector","yes",1,"gbif-download",1970,2026,1651851,"Aedes luteocephalus","0033009-260519110011954","submitted","SUCCEEDED","10.15468/dl.3nhhty","https://api.gbif.org/v1/occurrence/download/request/0033009-260519110011954.zip",90,3571,"2026-06-03T00:30:16.879+00:00","2026-06-03T00:31:54.780+00:00","2026-06-03T00:30:17Z","2026-06-03T00:32:14Z","cleaned","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_luteocephalus/gbif-download/cleaned/Aedes_luteocephalus_cleaned.csv","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_luteocephalus/gbif-download/occurrence_preparation_summary.csv",""
"Aedes notoscriptus","Aedes notoscriptus","vector","yes",1,"gbif-download",1970,2026,1652043,"Aedes notoscriptus","0033010-260519110011954","submitted","SUCCEEDED","10.15468/dl.e7d3p2","https://api.gbif.org/v1/occurrence/download/request/0033010-260519110011954.zip",3081,188561,"2026-06-03T00:30:19.811+00:00","2026-06-03T00:31:42.204+00:00","2026-06-03T00:30:20Z","2026-06-03T00:32:22Z","cleaned","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_notoscriptus/gbif-download/cleaned/Aedes_notoscriptus_cleaned.csv","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_notoscriptus/gbif-download/occurrence_preparation_summary.csv",""
"Aedes procax","Aedes procax","vector","yes",1,"gbif-download",1970,2026,1651546,"Aedes procax","0033018-260519110011954","submitted","SUCCEEDED","10.15468/dl.n6h4dc","https://api.gbif.org/v1/occurrence/download/request/0033018-260519110011954.zip",137,9253,"2026-06-03T00:33:55.536+00:00","2026-06-03T00:35:19.089+00:00","2026-06-03T00:33:55Z","2026-06-03T10:31:18Z","cleaned","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_procax/gbif-download/cleaned/Aedes_procax_cleaned.csv","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_procax/gbif-download/occurrence_preparation_summary.csv",""
"Aedes togoi","Aedes togoi","vector","yes",1,"gbif-download",1970,2026,1651467,"Aedes togoi","0033019-260519110011954","submitted","SUCCEEDED","10.15468/dl.b4aazr","https://api.gbif.org/v1/occurrence/download/request/0033019-260519110011954.zip",78,6110,"2026-06-03T00:33:57.430+00:00","2026-06-03T00:35:20.410+00:00","2026-06-03T00:33:57Z","2026-06-03T10:31:22Z","cleaned","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_togoi/gbif-download/cleaned/Aedes_togoi_cleaned.csv","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_togoi/gbif-download/occurrence_preparation_summary.csv",""
"Aedes triseriatus","Aedes triseriatus","vector","yes",1,"gbif-download",1970,2026,1651799,"Aedes triseriatus","0033020-260519110011954","submitted","SUCCEEDED","10.15468/dl.pfv59b","https://api.gbif.org/v1/occurrence/download/request/0033020-260519110011954.zip",21457,801450,"2026-06-03T00:33:59.261+00:00","2026-06-03T00:35:22.768+00:00","2026-06-03T00:34:01Z","2026-06-03T10:31:30Z","cleaned","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_triseriatus/gbif-download/cleaned/Aedes_triseriatus_cleaned.csv","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_triseriatus/gbif-download/occurrence_preparation_summary.csv",""
