"species_name","source_method","source_dataset","output_path","rows","coordinate_rows","unique_coordinate_rows","source_species_column","latitude_column","longitude_column","source_path","extracted_at"
"Coquillettidia linealis","mapveu","MapVEu sample + collection site + collection metadata","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Coquillettidia_linealis/mapveu/raw/Coquillettidia_linealis_mapveu_occurrences.csv",7,7,5,"species [OBI_0001909]","Latitude [OBI_0001620]","Longitude [OBI_0001621]","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Sample_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection site_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection_subsettedData.txt","2026-06-02T14:14:08Z"
"Culex annulirostris","vectormap","VectorMap MosquitoMap2","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Culex_annulirostris/vectormap/raw/Culex_annulirostris_vectormap_occurrences.csv",1676,1676,367,"ScientificName","DecimalLatitude","DecimalLongitude","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/vectormap/raw/MosquitoMap2_2627680870621077260.csv","2026-06-02T14:14:08Z"
"Culex annulirostris","mapveu","MapVEu sample + collection site + collection metadata","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Culex_annulirostris/mapveu/raw/Culex_annulirostris_mapveu_occurrences.csv",15,15,13,"species [OBI_0001909]","Latitude [OBI_0001620]","Longitude [OBI_0001621]","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Sample_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection site_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection_subsettedData.txt","2026-06-02T14:14:08Z"
"Culex sitiens","vectormap","VectorMap MosquitoMap2","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Culex_sitiens/vectormap/raw/Culex_sitiens_vectormap_occurrences.csv",431,431,159,"ScientificName","DecimalLatitude","DecimalLongitude","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/vectormap/raw/MosquitoMap2_2627680870621077260.csv","2026-06-02T14:14:08Z"
"Culex sitiens","mapveu","MapVEu sample + collection site + collection metadata","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Culex_sitiens/mapveu/raw/Culex_sitiens_mapveu_occurrences.csv",10,10,10,"species [OBI_0001909]","Latitude [OBI_0001620]","Longitude [OBI_0001621]","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Sample_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection site_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection_subsettedData.txt","2026-06-02T14:14:08Z"
"Eretmapodites chrysogaster","vectormap","VectorMap MosquitoMap2","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Eretmapodites_chrysogaster/vectormap/raw/Eretmapodites_chrysogaster_vectormap_occurrences.csv",182,182,71,"ScientificName","DecimalLatitude","DecimalLongitude","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/vectormap/raw/MosquitoMap2_2627680870621077260.csv","2026-06-02T14:14:08Z"
"Eretmapodites chrysogaster","mapveu","MapVEu sample + collection site + collection metadata",,0,0,0,"species [OBI_0001909]","Latitude [OBI_0001620]","Longitude [OBI_0001621]","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Sample_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection site_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection_subsettedData.txt","2026-06-02T14:14:08Z"
"Opifex fuscus","vectormap","VectorMap MosquitoMap2","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Opifex_fuscus/vectormap/raw/Opifex_fuscus_vectormap_occurrences.csv",9,9,3,"ScientificName","DecimalLatitude","DecimalLongitude","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/vectormap/raw/MosquitoMap2_2627680870621077260.csv","2026-06-02T14:14:08Z"
"Opifex fuscus","mapveu","MapVEu sample + collection site + collection metadata",,0,0,0,"species [OBI_0001909]","Latitude [OBI_0001620]","Longitude [OBI_0001621]","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Sample_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection site_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection_subsettedData.txt","2026-06-02T14:14:08Z"
"Verrallina funerea","vectormap","VectorMap MosquitoMap2","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Verrallina_funerea/vectormap/raw/Verrallina_funerea_vectormap_occurrences.csv",134,134,72,"ScientificName","DecimalLatitude","DecimalLongitude","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/vectormap/raw/MosquitoMap2_2627680870621077260.csv","2026-06-02T14:14:08Z"
"Verrallina funerea","mapveu","MapVEu sample + collection site + collection metadata",,0,0,0,"species [OBI_0001909]","Latitude [OBI_0001620]","Longitude [OBI_0001621]","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Sample_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection site_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection_subsettedData.txt","2026-06-02T14:14:08Z"
